Queue;DE;EN;FR;IT
B2C_HIGH_PRIORITY_SO;1-2 ;1-2 ;1-2 ;1-2 
B2C_SA_COMPLAINT_SO;8-10 ;2-3 ;2-3 ;2-3 
B2C_FINANCIAL_COMPLAINT_SO;3-5 ;2-3 ;3-5 ;2-3 
B2C_SA_NOT_PROMISE_SO;2-3 ;2-3 ;2-3 ;2-3 
B2C_SA_TICKET_SO;2-3 ;2-3 ;2-3 ;2-3 
B2C_SA_TECH_SO;2-3 ;2-3 ;2-3 ;2-3 
B2C_SA_EXPERT_SO;5-10 ;5-10 ;5-10 ;5-10 
B2C_MAIL_SO;1-2 ;1-2 ;1-2 ;1-2 
PM_UNCHURN_VNC_SO;2-3 ;2-3 ;2-3 ;2-3 
OS_BACKOFFICE_SO;3-5 ;1-2 ;1-2 ;1-2 
FIBER_EXECUTIVE_SO;2-5 ;2-5 ;2-5 ;2-5 
FIBER_COMPLAINT_SO;1-2 ;1-2 ;1-2 ;1-2 
FIBER_EMAIL_SO;7-10 ;7-10 ;5-7 ;3-5 
FIBER_FINANCIAL_SO;5-10 ;3-5 ;3-5 ;5-10 
FIBER_WINBACK_SO;10-15 ;10-15 ;10-15 ;10-15 
FIBER_MOVE_SO;10-15 ;10-15 ;10-15 ;10-15 
FIBER_WELCOME_OFFER_SO;10-15 ;10-15 ;10-15 ;10-15 
FIBER_OPTION_DEACTIVATION_SO;by end of month;by end of month;by end of month;by end of month
FIBER_CALLBACK_BACKOFFICE_SO;1-2 ;1-2 ;1-2 ;1-2 
FIBER_WRONG_OTO_SO;2-3 ;2-3 ;2-3 ;2-3 
FIBER_PLUGINUSE_SO;2-3 ;2-3 ;2-3 ;2-3 
FIBER_ACTIVATION_CHECK_SO;2-3 ;2-3 ;2-3 ;2-3 
FIBER_DELEGATE_BACKOFFICE_SO;5-10 ;3-5 ;3-5 ;3-5 
FIBER_DELEGATE_FRONT_SO;10-15 ;10-15 ;10-15 ;2-3 
FIBER_TECH_SO;2-3 ;2-3 ;2-3 ;2-3 
FIBER_LOW_PRIO_TECH_SO;10-15 ;10-15 ;10-15 ;10-15